Time, Operation, Node, Description
23:19:51.539,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
23:20:24.234,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
23:20:24.234,createOrReadWAL,5,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
23:20:24.464,Start,5,Starting Raft node channel=mychannel 
23:20:24.465,start,5,Starting raft node as part of a new channel channel=mychannel 
23:20:24.465,becomeFollower,5,5 became follower at term 0 channel=mychannel 
23:20:24.465,newRaft,5,newRaft 5 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
23:20:24.465,becomeFollower,5,5 became follower at term 1 channel=mychannel 
23:20:24.466,run,5,This node is picked to start campaign channel=mychannel 
23:20:24.604,apply,5,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.604,apply,5,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.604,apply,5,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.604,apply,5,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.604,apply,5,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.605,apply,5,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:25.466,Step,5,5 is starting a new election at term 1 channel=mychannel 
23:20:25.466,becomePreCandidate,5,5 became pre-candidate at term 1 channel=mychannel 
23:20:25.466,poll,5,5 received MsgPreVoteResp from 5 at term 1 channel=mychannel 
23:20:25.466,campaign,5,5 [logterm: 1 index: 6] sent MsgPreVote request to 6 at term 1 channel=mychannel 
23:20:25.466,campaign,5,5 [logterm: 1 index: 6] sent MsgPreVote request to 1 at term 1 channel=mychannel 
23:20:25.466,campaign,5,5 [logterm: 1 index: 6] sent MsgPreVote request to 2 at term 1 channel=mychannel 
23:20:25.466,campaign,5,5 [logterm: 1 index: 6] sent MsgPreVote request to 3 at term 1 channel=mychannel 
23:20:25.466,campaign,5,5 [logterm: 1 index: 6] sent MsgPreVote request to 4 at term 1 channel=mychannel 
23:20:25.468,poll,5,5 received MsgPreVoteResp from 6 at term 1 channel=mychannel 
23:20:25.468,stepCandidate,5,5 [quorum:4] has received 2 MsgPreVoteResp votes and 0 vote rejections channel=mychannel 
23:20:25.468,poll,5,5 received MsgPreVoteResp from 2 at term 1 channel=mychannel 
23:20:25.468,stepCandidate,5,5 [quorum:4] has received 3 MsgPreVoteResp votes and 0 vote rejections channel=mychannel 
23:20:25.468,poll,5,5 received MsgPreVoteResp from 1 at term 1 channel=mychannel 
23:20:25.468,stepCandidate,5,5 [quorum:4] has received 4 MsgPreVoteResp votes and 0 vote rejections channel=mychannel 
23:20:25.468,becomeCandidate,5,5 became candidate at term 2 channel=mychannel 
23:20:25.468,poll,5,5 received MsgVoteResp from 5 at term 2 channel=mychannel 
23:20:25.468,campaign,5,5 [logterm: 1 index: 6] sent MsgVote request to 1 at term 2 channel=mychannel 
23:20:25.468,campaign,5,5 [logterm: 1 index: 6] sent MsgVote request to 2 at term 2 channel=mychannel 
23:20:25.468,campaign,5,5 [logterm: 1 index: 6] sent MsgVote request to 3 at term 2 channel=mychannel 
23:20:25.469,campaign,5,5 [logterm: 1 index: 6] sent MsgVote request to 4 at term 2 channel=mychannel 
23:20:25.469,campaign,5,5 [logterm: 1 index: 6] sent MsgVote request to 6 at term 2 channel=mychannel 
23:20:25.513,poll,5,5 received MsgVoteResp from 4 at term 2 channel=mychannel 
23:20:25.514,stepCandidate,5,5 [quorum:4] has received 2 MsgVoteResp votes and 0 vote rejections channel=mychannel 
23:20:25.514,poll,5,5 received MsgVoteResp from 6 at term 2 channel=mychannel 
23:20:25.514,stepCandidate,5,5 [quorum:4] has received 3 MsgVoteResp votes and 0 vote rejections channel=mychannel 
23:20:25.514,poll,5,5 received MsgVoteResp from 2 at term 2 channel=mychannel 
23:20:25.514,stepCandidate,5,5 [quorum:4] has received 4 MsgVoteResp votes and 0 vote rejections channel=mychannel 
23:20:25.514,becomeLeader,5,5 became leader at term 2 channel=mychannel 
23:20:25.514,run,5,raft.node: 5 elected leader 5 at term 2 channel=mychannel 
23:20:25.519,run,5,Leader 5 is present quit campaign channel=mychannel 
23:20:25.519,run,5,Raft leader changed: 0 -> 5 channel=mychannel 
23:20:25.556,run,5,Start accepting requests as Raft leader at block [0] channel=mychannel 
23:20:44.277,propose,5,Created block [1] there are 0 blocks in flight channel=mychannel 
23:20:44.277,run,5,Received config transaction pause accepting transaction till it is committed channel=mychannel 
23:20:44.397,writeBlock,5,Writing block [1] (Raft index: 8) to ledger channel=mychannel 
23:20:47.562,propose,5,Created block [2] there are 0 blocks in flight channel=mychannel 
23:20:47.562,run,5,Received config transaction pause accepting transaction till it is committed channel=mychannel 
23:20:47.669,writeBlock,5,Writing block [2] (Raft index: 9) to ledger channel=mychannel 
23:22:29.887,propose,5,Created block [3] there are 0 blocks in flight channel=mychannel 
23:22:29.985,writeBlock,5,Writing block [3] (Raft index: 10) to ledger channel=mychannel 
23:24:09.223,propose,5,Created block [4] there are 0 blocks in flight channel=mychannel 
23:24:09.320,writeBlock,5,Writing block [4] (Raft index: 11) to ledger channel=mychannel 
23:24:13.787,propose,5,Created block [5] there are 0 blocks in flight channel=mychannel 
23:24:13.891,writeBlock,5,Writing block [5] (Raft index: 12) to ledger channel=mychannel 
23:24:27.361,propose,5,Created block [6] there are 0 blocks in flight channel=mychannel 
23:24:27.482,writeBlock,5,Writing block [6] (Raft index: 13) to ledger channel=mychannel 
00:30:23.791,propose,5,Created block [7] there are 0 blocks in flight channel=mychannel 
00:30:23.998,writeBlock,5,Writing block [7] (Raft index: 14) to ledger channel=mychannel 
00:31:10.924,propose,5,Created block [8] there are 0 blocks in flight channel=mychannel 
00:31:11.028,writeBlock,5,Writing block [8] (Raft index: 15) to ledger channel=mychannel 
00:31:37.242,propose,5,Created block [9] there are 0 blocks in flight channel=mychannel 
00:31:37.346,writeBlock,5,Writing block [9] (Raft index: 16) to ledger channel=mychannel 
00:32:29.802,propose,5,Created block [10] there are 0 blocks in flight channel=mychannel 
00:32:29.914,writeBlock,5,Writing block [10] (Raft index: 17) to ledger channel=mychannel 
00:33:16.413,propose,5,Created block [11] there are 0 blocks in flight channel=mychannel 
00:33:16.512,writeBlock,5,Writing block [11] (Raft index: 18) to ledger channel=mychannel 
00:34:02.135,propose,5,Created block [12] there are 0 blocks in flight channel=mychannel 
00:34:02.230,writeBlock,5,Writing block [12] (Raft index: 19) to ledger channel=mychannel 
00:35:11.567,propose,5,Created block [13] there are 0 blocks in flight channel=mychannel 
00:35:11.663,writeBlock,5,Writing block [13] (Raft index: 20) to ledger channel=mychannel 
00:36:20.618,propose,5,Created block [14] there are 0 blocks in flight channel=mychannel 
00:36:20.744,writeBlock,5,Writing block [14] (Raft index: 21) to ledger channel=mychannel 
00:37:26.017,propose,5,Created block [15] there are 0 blocks in flight channel=mychannel 
00:37:26.130,writeBlock,5,Writing block [15] (Raft index: 22) to ledger channel=mychannel 
00:38:43.495,propose,5,Created block [16] there are 0 blocks in flight channel=mychannel 
00:38:43.604,writeBlock,5,Writing block [16] (Raft index: 23) to ledger channel=mychannel 
00:40:04.982,propose,5,Created block [17] there are 0 blocks in flight channel=mychannel 
00:40:05.094,writeBlock,5,Writing block [17] (Raft index: 24) to ledger channel=mychannel 
23:19:50.896,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
23:20:24.234,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
23:20:24.235,createOrReadWAL,4,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
23:20:24.465,Start,4,Starting Raft node channel=mychannel 
23:20:24.475,start,4,Starting raft node as part of a new channel channel=mychannel 
23:20:24.475,becomeFollower,4,4 became follower at term 0 channel=mychannel 
23:20:24.475,newRaft,4,newRaft 4 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
23:20:24.475,becomeFollower,4,4 became follower at term 1 channel=mychannel 
23:20:24.588,apply,4,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.588,apply,4,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.588,apply,4,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.588,apply,4,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.588,apply,4,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.588,apply,4,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:25.469,Step,4,4 [logterm: 1 index: 6 vote: 0] cast MsgPreVote for 5 [logterm: 1 index: 6] at term 1 channel=mychannel 
23:20:25.478,Step,4,4 [term: 1] received a MsgVote message with higher term from 5 [term: 2] channel=mychannel 
23:20:25.478,becomeFollower,4,4 became follower at term 2 channel=mychannel 
23:20:25.478,Step,4,4 [logterm: 1 index: 6 vote: 0] cast MsgVote for 5 [logterm: 1 index: 6] at term 2 channel=mychannel 
23:20:25.520,run,4,raft.node: 4 elected leader 5 at term 2 channel=mychannel 
23:20:25.555,run,4,Raft leader changed: 0 -> 5 channel=mychannel 
23:20:44.405,writeBlock,4,Writing block [1] (Raft index: 8) to ledger channel=mychannel 
23:20:47.681,writeBlock,4,Writing block [2] (Raft index: 9) to ledger channel=mychannel 
23:22:29.985,writeBlock,4,Writing block [3] (Raft index: 10) to ledger channel=mychannel 
23:24:09.320,writeBlock,4,Writing block [4] (Raft index: 11) to ledger channel=mychannel 
23:24:13.892,writeBlock,4,Writing block [5] (Raft index: 12) to ledger channel=mychannel 
23:24:27.483,writeBlock,4,Writing block [6] (Raft index: 13) to ledger channel=mychannel 
00:30:24.001,writeBlock,4,Writing block [7] (Raft index: 14) to ledger channel=mychannel 
00:31:11.029,writeBlock,4,Writing block [8] (Raft index: 15) to ledger channel=mychannel 
00:31:37.362,writeBlock,4,Writing block [9] (Raft index: 16) to ledger channel=mychannel 
00:32:29.915,writeBlock,4,Writing block [10] (Raft index: 17) to ledger channel=mychannel 
00:33:16.514,writeBlock,4,Writing block [11] (Raft index: 18) to ledger channel=mychannel 
00:34:02.230,writeBlock,4,Writing block [12] (Raft index: 19) to ledger channel=mychannel 
00:35:11.664,writeBlock,4,Writing block [13] (Raft index: 20) to ledger channel=mychannel 
00:36:20.745,writeBlock,4,Writing block [14] (Raft index: 21) to ledger channel=mychannel 
00:37:26.131,writeBlock,4,Writing block [15] (Raft index: 22) to ledger channel=mychannel 
00:38:43.605,writeBlock,4,Writing block [16] (Raft index: 23) to ledger channel=mychannel 
00:40:05.095,writeBlock,4,Writing block [17] (Raft index: 24) to ledger channel=mychannel 
23:19:38.182,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
23:20:24.217,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
23:20:24.217,createOrReadWAL,6,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
23:20:24.345,Start,6,Starting Raft node channel=mychannel 
23:20:24.346,start,6,Starting raft node as part of a new channel channel=mychannel 
23:20:24.346,becomeFollower,6,6 became follower at term 0 channel=mychannel 
23:20:24.346,newRaft,6,newRaft 6 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
23:20:24.346,becomeFollower,6,6 became follower at term 1 channel=mychannel 
23:20:24.462,apply,6,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.462,apply,6,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.462,apply,6,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.462,apply,6,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.462,apply,6,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:24.462,apply,6,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
23:20:25.467,Step,6,6 [logterm: 1 index: 6 vote: 0] cast MsgPreVote for 5 [logterm: 1 index: 6] at term 1 channel=mychannel 
23:20:25.478,Step,6,6 [term: 1] received a MsgVote message with higher term from 5 [term: 2] channel=mychannel 
23:20:25.478,becomeFollower,6,6 became follower at term 2 channel=mychannel 
23:20:25.478,Step,6,6 [logterm: 1 index: 6 vote: 0] cast MsgVote for 5 [logterm: 1 index: 6] at term 2 channel=mychannel 
23:20:25.520,run,6,raft.node: 6 elected leader 5 at term 2 channel=mychannel 
23:20:25.555,run,6,Raft leader changed: 0 -> 5 channel=mychannel 
