Time, Operation, Node, Description
04:28:34.912,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.195,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.195,createOrReadWAL,1,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
04:29:03.385,Start,1,Starting Raft node channel=mychannel 
04:29:03.387,start,1,Starting raft node as part of a new channel channel=mychannel 
04:29:03.387,becomeFollower,1,1 became follower at term 0 channel=mychannel 
04:29:03.387,newRaft,1,newRaft 1 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
04:29:03.387,becomeFollower,1,1 became follower at term 1 channel=mychannel 
04:29:03.547,apply,1,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.547,apply,1,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.547,apply,1,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.547,apply,1,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.547,apply,1,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:03.548,apply,1,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
04:29:04.383,Step,1,1 [logterm: 1 index: 6 vote: 0] cast MsgPreVote for 5 [logterm: 1 index: 6] at term 1 channel=mychannel 
04:29:04.403,Step,1,1 [term: 1] received a MsgVote message with higher term from 5 [term: 2] channel=mychannel 
04:29:04.403,becomeFollower,1,1 became follower at term 2 channel=mychannel 
04:29:04.403,Step,1,1 [logterm: 1 index: 6 vote: 0] cast MsgVote for 5 [logterm: 1 index: 6] at term 2 channel=mychannel 
04:29:04.436,run,1,raft.node: 1 elected leader 5 at term 2 channel=mychannel 
04:29:04.466,run,1,Raft leader changed: 0 -> 5 channel=mychannel 
04:29:22.983,writeBlock,1,Writing block [1] (Raft index: 8) to ledger channel=mychannel 
04:29:26.207,writeBlock,1,Writing block [2] (Raft index: 9) to ledger channel=mychannel 
04:31:05.362,writeBlock,1,Writing block [3] (Raft index: 10) to ledger channel=mychannel 
04:32:40.431,writeBlock,1,Writing block [4] (Raft index: 11) to ledger channel=mychannel 
04:32:45.143,writeBlock,1,Writing block [5] (Raft index: 12) to ledger channel=mychannel 
04:32:57.043,writeBlock,1,Writing block [6] (Raft index: 13) to ledger channel=mychannel 
04:36:08.023,writeBlock,1,Writing block [7] (Raft index: 14) to ledger channel=mychannel 
04:36:25.507,writeBlock,1,Writing block [8] (Raft index: 15) to ledger channel=mychannel 
04:36:41.625,writeBlock,1,Writing block [9] (Raft index: 16) to ledger channel=mychannel 
04:37:04.353,writeBlock,1,Writing block [10] (Raft index: 17) to ledger channel=mychannel 
04:37:21.229,writeBlock,1,Writing block [11] (Raft index: 18) to ledger channel=mychannel 
04:37:43.757,writeBlock,1,Writing block [12] (Raft index: 19) to ledger channel=mychannel 
04:38:06.810,writeBlock,1,Writing block [13] (Raft index: 20) to ledger channel=mychannel 
04:38:23.294,writeBlock,1,Writing block [14] (Raft index: 21) to ledger channel=mychannel 
04:38:38.687,writeBlock,1,Writing block [15] (Raft index: 22) to ledger channel=mychannel 
04:38:57.282,writeBlock,1,Writing block [16] (Raft index: 23) to ledger channel=mychannel 
04:28:17.871,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.193,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
04:29:03.193,createOrReadWAL,2,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
04:29:03.380,Start,2,Starting Raft node channel=mychannel 
04:29:03.381,start,2,Starting raft node as part of a new channel channel=mychannel 
04:29:03.381,becomeFollower,2,2 became follower at term 0 channel=mychannel 
04:29:03.381,newRaft,2,newRaft 2 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
04:29:03.381,becomeFollower,2,2 became follower at term 1 channel=mychannel 
04:29:03.463,apply,2,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6] channel=mychannel 
