Time, Operation, Operation_name, Description
04:28:39.147,getLocalAddress,[peer],Auto-detected peer address: 172.22.0.17:7051
04:28:39.147,getLocalAddress,[peer],Returning peer0.org1.example.com:7051
04:28:39.155,serve,[nodeCmd],Starting peer with TLS enabled
04:28:40.809,New,[gossip.service],Initialize gossip with endpoint peer0.org1.example.com:7051
04:28:40.812,New,[gossip.gossip],Creating gossip service with self membership of Endpoint: peer0.org1.example.com:7051 InternalEndpoint: peer0.org1.example.com:7051 PKI-ID: c8e9b94e698409cf1d8b2aefc0a8708ee26002e7c5ac44562b0f37cf4d8acfe4 Metadata: 
04:28:40.815,NewLedgerMgr,[ledgermgmt],Initializing LedgerMgr
04:28:40.813,start,[gossip.gossip],Gossip instance peer0.org1.example.com:7051 started
04:28:42.299,openDBAndCheckFormat,[leveldbhelper],DB is empty Setting db format as 2.0
04:28:42.425,NewProvider,[fsblkstorage],Creating new file ledger directory at /var/hyperledger/production/ledgersData/chains/chains
04:28:43.404,openDBAndCheckFormat,[leveldbhelper],DB is empty Setting db format as 2.0
04:28:43.814,func1,[gossip.discovery],Could not connect to Endpoint: peer1.org1.example.com:8051 InternalEndpoint: peer1.org1.example.com:8051 PKI-ID: <nil> Metadata:  : context deadline exceeded
04:28:45.021,CreateDatabaseIfNotExist,[couchdb],Created state database _users
04:28:45.695,CreateDatabaseIfNotExist,[couchdb],Created state database _replicator
04:28:46.114,CreateDatabaseIfNotExist,[couchdb],Created state database fabric__internal
04:28:46.375,NewLedgerMgr,[ledgermgmt],Initialized LedgerMgr
04:28:46.375,InitializeLocalChaincodes,[lifecycle],Initialized lifecycle cache with 0 already installed chaincodes
04:28:46.376,computeChaincodeEndpoint,[nodeCmd],Entering computeChaincodeEndpoint with peerHostname: peer0.org1.example.com
04:28:46.376,computeChaincodeEndpoint,[nodeCmd],Exit with ccEndpoint: peer0.org1.example.com:7052
04:28:46.383,DeploySysCC,[sccapi],deploying system chaincode 'lscc'
04:28:46.384,DeploySysCC,[sccapi],deploying system chaincode 'cscc'
04:28:46.384,DeploySysCC,[sccapi],deploying system chaincode 'qscc'
04:28:46.384,DeploySysCC,[sccapi],deploying system chaincode '_lifecycle'
04:28:46.384,serve,[nodeCmd],Deployed system chaincodes
04:28:46.384,NewService,[discovery],Created with config TLS: true authCacheMaxSize: 1000 authCachePurgeRatio: 0.750000
04:28:46.384,registerDiscoveryService,[nodeCmd],Discovery service activated
04:28:46.384,serve,[nodeCmd],Starting peer with ID=[peer0.org1.example.com] network ID=[dev] address=[peer0.org1.example.com:7051]
04:28:46.384,serve,[nodeCmd],Started peer with ID=[peer0.org1.example.com] network ID=[dev] address=[peer0.org1.example.com:7051]
04:28:46.384,func6,[nodeCmd],Starting profiling server with listenAddress = 0.0.0.0:6060
04:28:46.385,LoadPreResetHeight,[kvledger],Loading prereset height from path [/var/hyperledger/production/ledgersData/chains]
04:28:46.385,preResetHtFiles,[fsblkstorage],No active channels passed
04:28:46.385,ServerHandshake,[core.comm],TLS handshake failed with error EOF server=PeerServer remoteaddress=172.22.0.16:49658
04:29:04.887,CreateLedger,[ledgermgmt],Creating ledger [mychannel] with genesis block
04:29:04.932,newBlockfileMgr,[fsblkstorage],Getting block information from block storage
04:29:05.309,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel_
04:29:05.678,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel__lifecycle
04:29:06.070,CommitLegacy,[kvledger],[mychannel] Committed block [0] with 1 transaction(s) in 359ms (state_validation=0ms block_and_pvtdata_commit=116ms state_commit=209ms) commitHash=[]
04:29:06.112,CreateLedger,[ledgermgmt],Created ledger [mychannel] with genesis block
04:29:06.124,JoinChan,[gossip.gossip],Joining gossip network of channel mychannel with 2 organizations
04:29:06.125,learnAnchorPeers,[gossip.gossip],No configured anchor peers of Org2MSP for channel mychannel to learn about
04:29:06.125,learnAnchorPeers,[gossip.gossip],No configured anchor peers of Org1MSP for channel mychannel to learn about
04:29:06.130,NewGossipStateProvider,[gossip.state],Updating metadata information for channel mychannel current ledger sequence is at = 0 next expected block is = 1
04:29:06.131,callChaincode,[endorser],finished chaincode: cscc duration: 1264ms channel= txID=f2c93617
04:29:06.131,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.22.0.18:37554 grpc.code=OK grpc.call_duration=1.266924514s
04:29:06.288,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T04:29:08.288Z grpc.peer_address=172.22.0.16:49754 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=80.002µs
04:29:06.295,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-19T04:29:16.29Z grpc.peer_address=172.22.0.16:49754 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=5.554262ms
04:29:06.301,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T04:29:08.301Z grpc.peer_address=172.22.0.16:49756 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=97.466µs
04:29:08.823,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.peer_address=172.22.0.16:49756 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=2.521491294s
04:29:12.131,beLeader,[gossip.election],c8e9b94e698409cf1d8b2aefc0a8708ee26002e7c5ac44562b0f37cf4d8acfe4 : Becoming a leader
04:29:12.131,func1,[gossip.service],Elected as a leader starting delivery service for channel mychannel
04:29:12.131,StartDeliverForChannel,[deliveryClient],This peer will retrieve blocks from ordering service and disseminate to other peers in the organization for channel mychannel
04:29:16.124,reportMembershipChanges,[gossip.channel],[[mychannel] Membership view has changed. peers went online:  [[peer1.org1.example.com:8051]]  current view:  [[peer1.org1.example.com:8051]]]
04:29:16.700,stopBeingLeader,[gossip.election],c8e9b94e698409cf1d8b2aefc0a8708ee26002e7c5ac44562b0f37cf4d8acfe4 Stopped being a leader
04:29:16.701,func1,[gossip.service],Renounced leadership stopping delivery service for channel mychannel
04:29:16.701,func1,[peer.blocksprovider],Encountered an error reading from deliver stream: rpc error: code = Canceled desc = grpc: the client connection is closing channel=mychannel orderer-address=orderer2.ord1.example.com:8050
04:29:23.181,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T04:29:25.181Z grpc.peer_address=172.22.0.15:45522 grpc.peer_subject="CN=peer0.org2.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=101.187µs
04:29:23.187,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-19T04:29:33.182Z grpc.peer_address=172.22.0.15:45522 grpc.peer_subject="CN=peer0.org2.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=4.915584ms
04:29:23.192,StoreBlock,[gossip.privdata],[mychannel] Received block [1] from buffer
