Time, Operation, Operation_name, Description
02:52:09.072,getLocalAddress,[peer],Auto-detected peer address: 172.20.0.22:7051
02:52:09.072,getLocalAddress,[peer],Returning peer0.org1.example.com:7051
02:52:09.084,serve,[nodeCmd],Starting peer with TLS enabled
02:52:09.416,New,[gossip.service],Initialize gossip with endpoint peer0.org1.example.com:7051
02:52:09.417,New,[gossip.gossip],Creating gossip service with self membership of Endpoint: peer0.org1.example.com:7051 InternalEndpoint: peer0.org1.example.com:7051 PKI-ID: 2ef2c22cef6d27852f219ed68b8b560dcd1cf5a74b8ffc75221c17a80425f48f Metadata: 
02:52:09.422,NewLedgerMgr,[ledgermgmt],Initializing LedgerMgr
02:52:09.423,start,[gossip.gossip],Gossip instance peer0.org1.example.com:7051 started
02:52:10.754,openDBAndCheckFormat,[leveldbhelper],DB is empty Setting db format as 2.0
02:52:10.897,NewProvider,[fsblkstorage],Creating new file ledger directory at /var/hyperledger/production/ledgersData/chains/chains
02:52:12.425,func1,[gossip.discovery],Could not connect to Endpoint: peer1.org1.example.com:8051 InternalEndpoint: peer1.org1.example.com:8051 PKI-ID: <nil> Metadata:  : context deadline exceeded
02:52:13.058,openDBAndCheckFormat,[leveldbhelper],DB is empty Setting db format as 2.0
02:52:15.833,CreateDatabaseIfNotExist,[couchdb],Created state database _users
02:52:16.555,CreateDatabaseIfNotExist,[couchdb],Created state database _replicator
02:52:17.301,CreateDatabaseIfNotExist,[couchdb],Created state database fabric__internal
02:52:17.829,NewLedgerMgr,[ledgermgmt],Initialized LedgerMgr
02:52:17.830,InitializeLocalChaincodes,[lifecycle],Initialized lifecycle cache with 0 already installed chaincodes
02:52:17.830,computeChaincodeEndpoint,[nodeCmd],Entering computeChaincodeEndpoint with peerHostname: peer0.org1.example.com
02:52:17.830,computeChaincodeEndpoint,[nodeCmd],Exit with ccEndpoint: peer0.org1.example.com:7052
02:52:17.837,DeploySysCC,[sccapi],deploying system chaincode 'lscc'
02:52:17.837,DeploySysCC,[sccapi],deploying system chaincode 'cscc'
02:52:17.838,DeploySysCC,[sccapi],deploying system chaincode 'qscc'
02:52:17.838,DeploySysCC,[sccapi],deploying system chaincode '_lifecycle'
02:52:17.838,serve,[nodeCmd],Deployed system chaincodes
02:52:17.838,NewService,[discovery],Created with config TLS: true authCacheMaxSize: 1000 authCachePurgeRatio: 0.750000
02:52:17.838,registerDiscoveryService,[nodeCmd],Discovery service activated
02:52:17.838,serve,[nodeCmd],Starting peer with ID=[peer0.org1.example.com] network ID=[dev] address=[peer0.org1.example.com:7051]
02:52:17.838,serve,[nodeCmd],Started peer with ID=[peer0.org1.example.com] network ID=[dev] address=[peer0.org1.example.com:7051]
02:52:17.838,LoadPreResetHeight,[kvledger],Loading prereset height from path [/var/hyperledger/production/ledgersData/chains]
02:52:17.838,preResetHtFiles,[fsblkstorage],No active channels passed
02:52:17.838,func6,[nodeCmd],Starting profiling server with listenAddress = 0.0.0.0:6060
02:52:17.839,ServerHandshake,[core.comm],TLS handshake failed with error EOF server=PeerServer remoteaddress=172.20.0.23:58114
02:52:34.276,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T02:52:36.276Z grpc.peer_address=172.20.0.21:55992 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=97.746µs
02:52:34.283,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-19T02:52:44.277Z grpc.peer_address=172.20.0.21:55992 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=5.830463ms
02:52:34.286,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T02:52:36.286Z grpc.peer_address=172.20.0.21:55994 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=96.345µs
02:52:37.456,CreateLedger,[ledgermgmt],Creating ledger [mychannel] with genesis block
02:52:37.490,newBlockfileMgr,[fsblkstorage],Getting block information from block storage
02:52:37.892,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel_
02:52:38.210,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel__lifecycle
02:52:38.644,CommitLegacy,[kvledger],[mychannel] Committed block [0] with 1 transaction(s) in 392ms (state_validation=0ms block_and_pvtdata_commit=99ms state_commit=259ms) commitHash=[]
02:52:38.703,CreateLedger,[ledgermgmt],Created ledger [mychannel] with genesis block
02:52:38.732,JoinChan,[gossip.gossip],Joining gossip network of channel mychannel with 2 organizations
02:52:38.732,learnAnchorPeers,[gossip.gossip],No configured anchor peers of Org1MSP for channel mychannel to learn about
02:52:38.732,learnAnchorPeers,[gossip.gossip],No configured anchor peers of Org2MSP for channel mychannel to learn about
02:52:38.737,NewGossipStateProvider,[gossip.state],Updating metadata information for channel mychannel current ledger sequence is at = 0 next expected block is = 1
02:52:38.738,callChaincode,[endorser],finished chaincode: cscc duration: 1287ms channel= txID=25d6a367
02:52:38.738,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.20.0.26:36052 grpc.code=OK grpc.call_duration=1.291427462s
02:52:38.784,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T02:52:40.783Z grpc.peer_address=172.20.0.23:58226 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=107.984µs
02:52:38.787,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-19T02:52:48.784Z grpc.peer_address=172.20.0.23:58226 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=2.678319ms
02:52:44.738,beLeader,[gossip.election],2ef2c22cef6d27852f219ed68b8b560dcd1cf5a74b8ffc75221c17a80425f48f : Becoming a leader
02:52:44.738,func1,[gossip.service],Elected as a leader starting delivery service for channel mychannel
02:52:44.738,StartDeliverForChannel,[deliveryClient],This peer will retrieve blocks from ordering service and disseminate to other peers in the organization for channel mychannel
02:52:48.732,reportMembershipChanges,[gossip.channel],[[mychannel] Membership view has changed. peers went online:  [[peer1.org1.example.com:8051]]  current view:  [[peer1.org1.example.com:8051]]]
02:52:49.210,stopBeingLeader,[gossip.election],2ef2c22cef6d27852f219ed68b8b560dcd1cf5a74b8ffc75221c17a80425f48f Stopped being a leader
02:52:49.210,func1,[gossip.service],Renounced leadership stopping delivery service for channel mychannel
02:52:49.210,func1,[peer.blocksprovider],Encountered an error reading from deliver stream: rpc error: code = Canceled desc = context canceled channel=mychannel orderer-address=orderer4.ord2.example.com:20050
