Time, Operation, Node, Description
22:18:51.617,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
22:19:37.837,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
22:19:37.837,createOrReadWAL,1,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
22:19:38.051,Start,1,Starting Raft node channel=mychannel 
22:19:38.057,start,1,Starting raft node as part of a new channel channel=mychannel 
22:19:38.057,becomeFollower,1,1 became follower at term 0 channel=mychannel 
22:19:38.057,newRaft,1,newRaft 1 [peers: [] term: 0 commit: 0 applied: 0 lastindex: 0 lastterm: 0] channel=mychannel 
22:19:38.057,becomeFollower,1,1 became follower at term 1 channel=mychannel 
22:19:38.269,apply,1,Applied config change to add node 1 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 2 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 3 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 4 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 5 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 6 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 7 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 8 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 9 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 10 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 11 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 12 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 13 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 14 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.270,apply,1,Applied config change to add node 15 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:38.271,apply,1,Applied config change to add node 16 current nodes in channel: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16] channel=mychannel 
22:19:39.137,Step,1,1 [logterm: 1 index: 16 vote: 0] cast MsgPreVote for 5 [logterm: 1 index: 16] at term 1 channel=mychannel 
22:19:39.151,Step,1,1 [term: 1] received a MsgVote message with higher term from 5 [term: 2] channel=mychannel 
22:19:39.151,becomeFollower,1,1 became follower at term 2 channel=mychannel 
22:19:39.151,Step,1,1 [logterm: 1 index: 16 vote: 0] cast MsgVote for 5 [logterm: 1 index: 16] at term 2 channel=mychannel 
22:19:39.232,run,1,raft.node: 1 elected leader 5 at term 2 channel=mychannel 
22:19:39.347,run,1,Raft leader changed: 0 -> 5 channel=mychannel 
22:20:16.754,writeBlock,1,Writing block [1] (Raft index: 18) to ledger channel=mychannel 
22:20:19.803,writeBlock,1,Writing block [2] (Raft index: 19) to ledger channel=mychannel 
22:22:08.210,writeBlock,1,Writing block [3] (Raft index: 20) to ledger channel=mychannel 
22:23:58.257,writeBlock,1,Writing block [4] (Raft index: 21) to ledger channel=mychannel 
22:24:03.403,writeBlock,1,Writing block [5] (Raft index: 22) to ledger channel=mychannel 
22:24:17.926,writeBlock,1,Writing block [6] (Raft index: 23) to ledger channel=mychannel 
22:38:48.736,writeBlock,1,Writing block [7] (Raft index: 24) to ledger channel=mychannel 
22:40:16.941,writeBlock,1,Writing block [8] (Raft index: 25) to ledger channel=mychannel 
22:41:14.178,writeBlock,1,Writing block [9] (Raft index: 26) to ledger channel=mychannel 
22:42:15.858,writeBlock,1,Writing block [10] (Raft index: 27) to ledger channel=mychannel 
22:43:01.066,writeBlock,1,Writing block [11] (Raft index: 28) to ledger channel=mychannel 
22:43:51.128,writeBlock,1,Writing block [12] (Raft index: 29) to ledger channel=mychannel 
22:45:18.069,writeBlock,1,Writing block [13] (Raft index: 30) to ledger channel=mychannel 
22:46:11.043,writeBlock,1,Writing block [14] (Raft index: 31) to ledger channel=mychannel 
22:47:20.236,writeBlock,1,Writing block [15] (Raft index: 32) to ledger channel=mychannel 
22:48:13.937,writeBlock,1,Writing block [16] (Raft index: 33) to ledger channel=mychannel 
22:18:20.484,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
22:19:37.871,HandleChain,s,EvictionSuspicion not set defaulting to 10m0s
22:19:37.872,createOrReadWAL,2,No WAL data found creating new WAL at path '/var/hyperledger/production/orderer/etcdraft/wal/mychannel' channel=mychannel 
22:19:38.130,Start,2,Starting Raft node channel=mychannel 
