Time, Operation, Operation_name, Description
05:01:16.923,getLocalAddress,[peer],Auto-detected peer address: 172.23.0.33:7051
05:01:16.923,getLocalAddress,[peer],Returning peer0.org1.example.com:7051
05:01:16.941,serve,[nodeCmd],Starting peer with TLS enabled
05:01:17.820,New,[gossip.service],Initialize gossip with endpoint peer0.org1.example.com:7051
05:01:17.821,New,[gossip.gossip],Creating gossip service with self membership of Endpoint: peer0.org1.example.com:7051 InternalEndpoint: peer0.org1.example.com:7051 PKI-ID: 1cbfea6b26f541bf313350a33d1a2418fb84a87fda637f6bfbe78dcc13c2e82a Metadata: 
05:01:17.822,start,[gossip.gossip],Gossip instance peer0.org1.example.com:7051 started
05:01:17.880,NewLedgerMgr,[ledgermgmt],Initializing LedgerMgr
05:01:19.483,openDBAndCheckFormat,[leveldbhelper],DB is empty Setting db format as 2.0
05:01:19.558,NewProvider,[fsblkstorage],Creating new file ledger directory at /var/hyperledger/production/ledgersData/chains/chains
05:01:20.249,openDBAndCheckFormat,[leveldbhelper],DB is empty Setting db format as 2.0
05:01:20.824,func1,[gossip.discovery],Could not connect to Endpoint: peer1.org1.example.com:8051 InternalEndpoint: peer1.org1.example.com:8051 PKI-ID: <nil> Metadata:  : context deadline exceeded
05:01:24.879,CreateDatabaseIfNotExist,[couchdb],Created state database _users
05:01:26.375,CreateDatabaseIfNotExist,[couchdb],Created state database _replicator
05:01:27.047,CreateDatabaseIfNotExist,[couchdb],Created state database fabric__internal
05:01:27.712,NewLedgerMgr,[ledgermgmt],Initialized LedgerMgr
05:01:27.712,InitializeLocalChaincodes,[lifecycle],Initialized lifecycle cache with 0 already installed chaincodes
05:01:27.713,computeChaincodeEndpoint,[nodeCmd],Entering computeChaincodeEndpoint with peerHostname: peer0.org1.example.com
05:01:27.713,computeChaincodeEndpoint,[nodeCmd],Exit with ccEndpoint: peer0.org1.example.com:7052
05:01:27.723,DeploySysCC,[sccapi],deploying system chaincode 'lscc'
05:01:27.724,DeploySysCC,[sccapi],deploying system chaincode 'cscc'
05:01:27.724,DeploySysCC,[sccapi],deploying system chaincode 'qscc'
05:01:27.724,DeploySysCC,[sccapi],deploying system chaincode '_lifecycle'
05:01:27.724,serve,[nodeCmd],Deployed system chaincodes
05:01:27.724,NewService,[discovery],Created with config TLS: true authCacheMaxSize: 1000 authCachePurgeRatio: 0.750000
05:01:27.724,registerDiscoveryService,[nodeCmd],Discovery service activated
05:01:27.724,serve,[nodeCmd],Starting peer with ID=[peer0.org1.example.com] network ID=[dev] address=[peer0.org1.example.com:7051]
05:01:27.724,func6,[nodeCmd],Starting profiling server with listenAddress = 0.0.0.0:6060
05:01:27.724,serve,[nodeCmd],Started peer with ID=[peer0.org1.example.com] network ID=[dev] address=[peer0.org1.example.com:7051]
05:01:27.725,LoadPreResetHeight,[kvledger],Loading prereset height from path [/var/hyperledger/production/ledgersData/chains]
05:01:27.725,preResetHtFiles,[fsblkstorage],No active channels passed
05:01:27.727,ServerHandshake,[core.comm],TLS handshake failed with error EOF server=PeerServer remoteaddress=172.23.0.32:37246
05:01:27.727,ServerHandshake,[core.comm],TLS handshake failed with error EOF server=PeerServer remoteaddress=172.23.0.34:52774
05:01:27.729,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T05:01:29.729Z grpc.peer_address=172.23.0.38:59336 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=97.364µs
05:01:27.736,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-19T05:01:37.73Z grpc.peer_address=172.23.0.38:59336 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=5.862004ms
05:01:27.741,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T05:01:29.741Z grpc.peer_address=172.23.0.38:59368 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=94.879µs
05:01:43.864,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T05:01:45.864Z grpc.peer_address=172.23.0.32:37514 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=106.052µs
05:01:43.867,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-19T05:01:53.865Z grpc.peer_address=172.23.0.32:37514 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=2.204661ms
05:01:43.872,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T05:01:45.872Z grpc.peer_address=172.23.0.32:37516 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=87.296µs
05:01:45.837,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.peer_address=172.23.0.32:37516 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=1.964470441s
05:01:45.868,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T05:01:47.868Z grpc.peer_address=172.23.0.32:37548 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=105.081µs
05:01:46.542,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T05:01:48.541Z grpc.peer_address=172.23.0.34:53076 grpc.peer_subject="CN=peer3.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=102.046µs
05:01:46.545,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-19T05:01:56.543Z grpc.peer_address=172.23.0.34:53076 grpc.peer_subject="CN=peer3.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=2.074912ms
05:01:46.549,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-19T05:01:48.549Z grpc.peer_address=172.23.0.34:53078 grpc.peer_subject="CN=peer3.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=106.682µs
05:01:47.849,CreateLedger,[ledgermgmt],Creating ledger [mychannel] with genesis block
05:01:47.883,newBlockfileMgr,[fsblkstorage],Getting block information from block storage
05:01:48.303,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel_
